 'T[K]'  'P[atm]'  'H[MJ/kg]'   'Cpef[kJ/kg/K]'  'Visc[Pa*s]'  'Leff[W/m/K]'  'Sigma[1/Ohm/m]'  'Mass[g/mol]' 
    3.000000e+02    1.000000e+00
    5.000000e+03    1.000000e+00
    2.000000e+01    0.000000e+00
    300         1    0.00192321           1.0395   1.83694e-05      0.0268971                 0        28.0134 
    320         1     0.0227017          1.03852   1.91935e-05      0.0281483                 0        28.0134 
    340         1     0.0434704          1.03849   2.00505e-05       0.029464                 0        28.0134 
    360         1     0.0642463          1.03921   2.09491e-05      0.0308723                 0        28.0134 
    380         1     0.0850429          1.04055   2.18578e-05      0.0323173                 0        28.0134 
    400         1      0.105871          1.04239    2.2641e-05      0.0335936                 0        28.0134 
    420         1      0.126741          1.04465    2.3374e-05      0.0348127                 0        28.0134 
    440         1       0.14766          1.04727   2.41017e-05       0.036033                 0        28.0134 
    460         1      0.168634           1.0502     2.488e-05      0.0373458                 0        28.0134 
    480         1      0.189669          1.05338   2.56637e-05      0.0386866                 0        28.0134 
    500         1      0.210771          1.05679   2.64789e-05      0.0400948                 0        28.0134 
    520         1      0.231942          1.06039   2.71866e-05      0.0413531                 0        28.0134 
    540         1      0.253187          1.06416   2.78618e-05      0.0425742                 0        28.0134 
    560         1       0.27451          1.06808   2.85141e-05      0.0437706                 0        28.0134 
    580         1      0.295911          1.07212   2.91661e-05      0.0449733                 0        28.0134 
    600         1      0.317395          1.07627   2.98372e-05       0.046218                 0        28.0134 
    620         1      0.338963          1.08052   3.05245e-05      0.0474987                 0        28.0134 
    640         1      0.360616          1.08485   3.12118e-05      0.0487718                 0        28.0134 
    660         1      0.382357          1.08926   3.19504e-05      0.0501351                 0        28.0134 
    680         1      0.404187          1.09372    3.2586e-05       0.051346                 0        28.0134 
    700         1      0.426106          1.09823   3.32028e-05      0.0525312                 0        28.0134 
    720         1      0.448116          1.10277   3.38016e-05      0.0536954                 0        28.0134 
    740         1      0.470218          1.10735   3.43857e-05      0.0548424                 0        28.0134 
    760         1      0.492411          1.11195   3.49778e-05      0.0560031                 0        28.0134 
    780         1      0.514696          1.11657   3.55583e-05      0.0571497                 0        28.0134 
    800         1      0.537073          1.12119   3.61612e-05      0.0583445                 0        28.0134 
    820         1      0.559543          1.12581   3.67714e-05      0.0595552                 0        28.0134 
    840         1      0.582106          1.13042   3.73823e-05      0.0607786                 0        28.0134 
    860         1       0.60476          1.13501   3.79878e-05      0.0620053                 0        28.0134 
    880         1      0.627506          1.13959   3.86562e-05      0.0633555                 0        28.0134 
    900         1      0.650343          1.14413   3.92233e-05      0.0645347                 0        28.0134 
    920         1      0.673271          1.14864   3.97796e-05      0.0657014                 0        28.0134 
    940         1      0.696289          1.15311   4.03253e-05      0.0668542                 0        28.0134 
    960         1      0.719395          1.15753   4.08607e-05       0.067993                 0        28.0134 
    980         1       0.74259           1.1619   4.13861e-05      0.0691175                 0        28.0134 
   1000         1      0.765871          1.16622   4.19185e-05      0.0702516                 0        28.0134 
   1020         1      0.789238          1.17046   4.24511e-05      0.0713845                 0        28.0134 
   1040         1      0.812689          1.17464    4.2975e-05      0.0725035                 0        28.0134 
   1060         1      0.836223          1.17874   4.35069e-05      0.0736429                 0        28.0134 
   1080         1      0.859838          1.18276   4.40576e-05      0.0748132                 0        28.0134 
   1100         1      0.883533           1.1867   4.46016e-05      0.0759719                 0        28.0134 
   1120         1      0.907305          1.19054   4.51469e-05      0.0771374                 0        28.0134 
   1140         1      0.931154          1.19428    4.5689e-05      0.0782984                 0        28.0134 
